Item Number,Brand,Processor,Type,Release Year,Model,Price,Ram Size Clean,GPU Clean,Maximum Resolution Clean,Screen Size Clean,Processor Speed Clean,Refurbished,Condition Clean,OS Clean,SSD Capacity Clean,Hard Drive Capacity Clean,Storage Type Clean
85264981001,Chuwi,Quad Core,Laptop,2021,CoreBook X,303.68,8.0,Unknown,2160 x 1440,14.0,3.8,False,New,Windows 11 Home,1 TB,512 GB,SSD
85264981003,Dell,Intel Core i5-6300U,Laptop,2019,Dell Latitude E5470,175,16.0,Unknown,1920 x 1080,14.0,2.4,False,Good,Windows 10 Pro,500 GB,500 GB,SSD
85264981004,HP,Intel Celeron N,Laptop,nan,HP Chromebook 11 G6,84.99,4.0,Unknown,1366 x 768,11.6,2.4,False,Good,Chrome OS,16 GB,16 GB,SSD
85264981005,Dell,Intel Core i5 6th Gen.,Laptop,2015,Various Models,101.22,8.0,Intel Integrated Graphics,1366 x 768,12.5,1.4,False,Good,Windows 10 Home,256 GB,Unknown,SSD
85264981006,Acer,Intel Celeron,Laptop,2017,Chromebook C738T-C44Z,49.99,4.0,Unknown,1366 x 768,11.6,1.6,Unknown,Unknown,Chrome OS,16 GB,Unknown,SSD
85264981007,HP,Intel Celeron,Laptop,2017,HP Chromebook 11 G5,39.59,4.0,Unknown,1112 x 626,11.6,1.6,Unknown,Unknown,Chrome OS,16 GB,16 GB,SSD
85264981008,Acer,Intel Celeron Dual-Core,Laptop,nan,Chromebook C720-2848,34.99,2.0,Unknown,1112 x 626,11.6,4.0,Unknown,Unknown,Chrome OS,16 GB,16 GB,Unknown
85264981009,Dell,i7 7th,Laptop,nan,Dell Latitude 7480,279.99,16.0,Unknown,1920 x 1080,14.0,2.8,False,Excellent,Windows 11 Pro,500 GB,512 GB,SSD
85264981010,HP,Intel Core i3 10th Gen.,Laptop,2020,Samsung Chromebook 3,125,8.0,Intel UHD Graphics,1920 x 1080,14.0,2.1,Unknown,Unknown,Chrome OS,64 GB,Unknown,SSD
85264981011,Lenovo,"8350U,  Core i5",Laptop,nan,Lenovo T480,138,16.0,Intel UHD Graphics 620,1920 x 1080,14.0,1.7,False,Good,Windows 11 Pro,128 GB,Unknown,SSD
